Latitude,Longitude,Type,Depth,Magnitude,Date,Time,Area,Year,Month,Day
-20.158,-179.163,Earthquake,700.0,5.5,1985-10-22,19:14:02,,1985,10,22
-24.871,178.566,Earthquake,691.6,5.6,2002-08-19,12:52:04,,2002,8,19
-19.876,-179.098,Earthquake,690.0,5.7,1977-06-17,02:29:10,,1977,6,17
-19.406,-179.315,Earthquake,688.0,6.1,2007-05-06,22:01:09,,2007,5,6
-20.073,-179.135,Earthquake,687.6,6.0,2000-09-02,17:02:20,,2000,9,2
-19.251,-179.362,Earthquake,682.2,5.6,2007-05-07,00:24:48,,2007,5,7
51.55,149.639,Earthquake,678.9,5.5,1998-02-09,03:02:14,,1998,2,9
-23.899,178.375,Earthquake,677.4,6.1,2002-08-19,11:23:06,,2002,8,19
-19.401,-179.354,Earthquake,676.4,6.5,2007-05-06,21:11:53,,2007,5,6
-20.147,-179.271,Earthquake,675.6,5.6,1984-10-10,19:05:58,,1984,10,10
-23.884,178.495,Earthquake,675.4,7.7,2002-08-19,11:08:24,,2002,8,19
-19.005,-179.361,Earthquake,675.0,5.8,2000-03-01,04:21:01,,2000,3,1
-20.14,-179.154,Earthquake,673.1,6.0,2004-01-11,09:29:10,,2004,1,11
-19.103,-179.361,Earthquake,671.9,5.6,2000-03-01,04:46:30,,2000,3,1
-19.584,-179.112,Earthquake,671.0,5.6,2009-01-24,09:01:58,,2009,1,24
-19.513,-179.329,Earthquake,668.6,5.8,2007-05-13,11:26:43,,2007,5,13
-12.797,169.531,Earthquake,667.1,5.8,2002-01-31,16:27:19,,2002,1,31
-17.983,178.744,Earthquake,665.8,6.2,2002-01-02,14:50:33,,2002,1,2
27.8386,140.4931,Earthquake,664.0,7.8,2015-05-30,11:23:02,,2015,5,30
-20.661,-179.262,Earthquake,662.8,5.9,2006-06-11,05:46:01,,2006,6,11
-19.3503,-179.136,Earthquake,662.37,5.7,2013-08-29,13:52:27,,2013,8,29
-20.754,-179.085,Earthquake,662.2,5.5,1985-01-09,01:32:39,,1985,1,9
-22.973,179.076,Earthquake,662.0,5.9,1969-02-10,23:02:59,,1969,2,10
-22.797,178.82,Earthquake,660.0,7.2,1969-02-10,22:58:06,,1969,2,10
-21.101,-179.145,Earthquake,659.0,5.6,1977-12-14,18:52:35,,1977,12,14
8.138,123.726,Earthquake,657.8,6.0,1998-05-23,17:44:48,,1998,5,23
-20.707,-179.224,Earthquake,656.6,5.6,2009-01-07,16:25:33,,2009,1,7
53.417,152.756,Earthquake,656.2,6.3,2009-12-10,02:30:53,,2009,12,10
-20.3944,-179.0024,Earthquake,656.0,5.9,2015-06-16,06:17:01,,2015,6,16
-20.622,-179.151,Earthquake,655.0,5.9,1975-06-06,01:08:41,,1975,6,6
-20.717,-179.246,Earthquake,653.0,5.5,1977-01-10,09:31:50,,1977,1,10
-5.028,108.403,Earthquake,651.2,5.5,1997-01-19,02:27:14,,1997,1,19
-26.12,178.282,Earthquake,651.0,5.6,1973-09-21,19:28:29,,1973,9,21
-14.365,-68.439,Earthquake,650.0,6.1,1994-06-09,01:15:18,,1994,6,9
-23.567,178.542,Earthquake,650.0,5.9,2002-08-19,11:03:13,,2002,8,19
-7.952,-71.416,Earthquake,649.4,5.5,1998-12-10,08:21:14,,1998,12,10
8.147,123.762,Earthquake,649.1,7.3,1984-03-05,03:33:51,,1984,3,5
-25.826,178.169,Earthquake,648.8,5.7,1987-07-07,18:12:53,,1987,7,7
-21.182,-179.097,Earthquake,648.7,5.7,2000-12-18,21:15:31,,2000,12,18
-7.018,123.357,Earthquake,648.5,6.5,2000-08-07,14:33:56,,2000,8,7
52.301,151.613,Earthquake,647.6,7.3,1970-08-30,17:46:10,,1970,8,30
-7.036,117.503,Earthquake,647.4,5.7,1984-09-16,10:23:42,,1984,9,16
-17.779,-178.05,Earthquake,645.8,6.5,1984-11-22,17:07:36,,1984,11,22
-18.278,-178.475,Earthquake,645.4,5.5,1994-10-01,14:54:29,,1994,10,1
-18.108,-178.062,Earthquake,645.0,6.2,1965-12-09,13:12:56,,1965,12,9
-7.89,-71.415,Earthquake,645.0,5.8,1978-07-11,12:17:08,,1978,7,11
-8.133,-71.272,Earthquake,644.9,6.1,2007-07-21,13:27:04,,2007,7,21
-1.597,-72.532,Earthquake,644.8,8.0,1970-07-31,17:08:05,,1970,7,31
54.618,152.678,Earthquake,644.8,6.1,1988-08-14,10:56:58,,1988,8,14
-21.264,-179.124,Earthquake,644.8,5.7,2000-12-25,05:11:59,,2000,12,25
-21.021,-179.105,Earthquake,644.7,5.5,2005-12-01,03:08:40,,2005,12,1
-21.611,-179.528,Earthquake,644.6,7.3,2011-09-15,19:31:04,,2011,9,15
9.964,124.035,Earthquake,644.5,6.0,1981-09-04,11:15:14,,1981,9,4
-26.289,178.178,Earthquake,643.5,5.5,2008-04-10,13:07:25,,2008,4,10
-21.217,-179.293,Earthquake,643.4,5.8,1994-09-30,19:30:18,,1994,9,30
-5.631,109.997,Earthquake,643.1,5.7,1986-10-18,22:09:32,,1986,10,18
-20.113,-178.892,Earthquake,643.0,6.5,1972-01-26,23:00:24,,1972,1,26
-21.025,-179.146,Earthquake,642.9,5.6,1967-10-12,06:35:08,,1967,10,12
-20.768,-179.178,Earthquake,642.8,6.0,1998-01-27,02:14:13,,1998,1,27
-7.146,123.427,Earthquake,642.4,6.9,2009-08-28,01:51:20,,2009,8,28
-21.09,-179.168,Earthquake,640.9,5.5,1985-03-10,05:09:11,,1985,3,10
6.776,123.259,Earthquake,640.6,7.5,2010-07-23,23:15:10,,2010,7,23
-18.026,-178.445,Earthquake,640.0,5.8,1999-01-25,10:37:13,,1999,1,25
6.683,123.529,Earthquake,640.0,5.6,2009-10-04,11:04:08,,2009,10,4
-18.741,-177.794,Earthquake,639.5,5.5,1995-03-22,14:00:14,,1995,3,22
-20.963,-179.149,Earthquake,639.5,5.5,2008-01-18,19:31:13,,2008,1,18
4.575,122.62,Earthquake,639.4,5.7,1990-03-14,03:44:50,,1990,3,14
-22.073,179.056,Earthquake,639.2,5.5,1996-04-25,05:50:09,,1996,4,25
-17.841,178.887,Earthquake,638.5,5.5,2002-01-05,18:22:41,,2002,1,5
-14.7378,169.8234,Earthquake,638.0,6.3,2014-03-05,09:56:58,,2014,3,5
-13.446,170.434,Earthquake,637.7,6.2,1995-04-13,02:34:38,,1995,4,13
-7.081,123.667,Earthquake,637.7,5.6,1995-10-25,13:47:13,,1995,10,25
-5.786,110.352,Earthquake,637.5,6.6,1994-09-28,16:39:52,,1994,9,28
-21.182,-179.186,Earthquake,636.8,7.2,1967-10-09,17:21:49,,1967,10,9
-18.309,-178.134,Earthquake,636.5,5.7,1987-07-29,21:32:32,,1987,7,29
-18.238,-179.292,Earthquake,636.0,5.6,1981-10-20,13:51:45,,1981,10,20
-18.172,-178.393,Earthquake,635.7,5.7,1989-04-14,13:02:53,,1989,4,14
-21.516,-179.26,Earthquake,635.4,6.1,1968-09-12,22:44:08,,1968,9,12
4.529,122.511,Earthquake,635.4,6.0,2003-07-01,05:52:26,,2003,7,1
-13.409,170.376,Earthquake,635.0,6.3,1965-04-10,22:53:05,,1965,4,10
-18.244,-177.691,Earthquake,634.3,5.5,1986-01-25,04:49:42,,1986,1,25
-25.8072,178.2401,Earthquake,634.21,6.3,2014-05-04,09:25:16,,2014,5,4
-21.344,-179.189,Earthquake,633.9,5.8,1992-08-01,18:19:03,,1992,8,1
-20.833,-179.236,Earthquake,633.5,6.3,1995-01-17,16:54:12,,1995,1,17
-26.397,178.201,Earthquake,633.2,5.5,2002-11-16,20:44:50,,2002,11,16
-6.169,112.154,Earthquake,633.0,5.8,1981-11-08,13:41:20,,1981,11,8
53.882,152.886,Earthquake,632.8,7.7,2008-07-05,02:12:04,,2008,7,5
